유형,기후_기준,기후_라벨,허가연도_기준,허가연도_라벨,벽체열관류율,지붕열관류율,바닥열관류율,창호열관류율,창호SHGC
주거,중부2,1,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1,0.417
주거,남부,2,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
주거,남부,2,1987-2000년,1,0.698,0.523,0.756,3.605,0.655
주거,남부,2,2001-2007년,2,0.47,0.35,0.41,4.19,0.708
주거,남부,2,2008-2009년,3,0.47,0.35,0.41,3.3,0.627
주거,남부,2,2010-2012년,4,0.36,0.24,0.35,2.4,0.545
주거,남부,2,2013-2017년,5,0.34,0.22,0.28,1.8,0.49
주거,남부,2,현행법규기준(벽체),wall1,0.22,0.18,0.22,#N/A,#N/A
주거,남부,2,현행법규에서 20% 강화 (벽체),wall2,0.176,0.144,0.176,#N/A,#N/A
주거,남부,2,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
주거,남부,2,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
주거,남부,2,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1.2,0.435
주거,제주,3,1986년 이전,0,0.582,0.582,1.163,3.489,0.644
주거,제주,3,1987-2000년,1,0.814,0.756,1.163,5.815,0.857
주거,제주,3,2001-2007년,2,0.58,0.41,0.47,5.23,0.803
주거,제주,3,2008-2009년,3,0.58,0.41,0.47,4.2,0.709
주거,제주,3,2010-2012년,4,0.45,0.29,0.35,3.1,0.609
주거,제주,3,2013-2017년,5,0.44,0.28,0.33,2.6,0.563
주거,제주,3,현행법규기준(벽체),wall1,0.29,0.25,0.29,#N/A,#N/A
주거,제주,3,현행법규에서 20% 강화 (벽체),wall2,0.232,0.2,0.232,#N/A,#N/A
주거,제주,3,1등급 (창호),win1,#N/A,#N/A,#N/A,0.9,0.408
주거,제주,3,2등급 (창호),win2,#N/A,#N/A,#N/A,1.2,0.435
주거,제주,3,현행법규기준(창호),win3,#N/A,#N/A,#N/A,1.6,0.472
